연도,자치구,주택유형,경과연수,노후주택수
2015,종로구,단독주택,20년~30년미만,2428
2015,중구,단독주택,20년~30년미만,1626
2015,용산구,단독주택,20년~30년미만,4447
2015,성동구,단독주택,20년~30년미만,5332
2015,광진구,단독주택,20년~30년미만,8399
2015,동대문구,단독주택,20년~30년미만,7186
2015,중랑구,단독주택,20년~30년미만,11480
2015,성북구,단독주택,20년~30년미만,8108
2015,강북구,단독주택,20년~30년미만,7558
2015,도봉구,단독주택,20년~30년미만,4166
2015,노원구,단독주택,20년~30년미만,2376
2015,은평구,단독주택,20년~30년미만,7840
2015,서대문구,단독주택,20년~30년미만,5103
2015,마포구,단독주택,20년~30년미만,5210
2015,양천구,단독주택,20년~30년미만,5225
2015,강서구,단독주택,20년~30년미만,5576
2015,구로구,단독주택,20년~30년미만,6360
2015,금천구,단독주택,20년~30년미만,4893
2015,영등포구,단독주택,20년~30년미만,8540
2015,동작구,단독주택,20년~30년미만,7163
2015,관악구,단독주택,20년~30년미만,9510
2015,서초구,단독주택,20년~30년미만,2206
2015,강남구,단독주택,20년~30년미만,3094
2015,송파구,단독주택,20년~30년미만,5797
2015,강동구,단독주택,20년~30년미만,6914
2015,종로구,아파트,20년~30년미만,2108
2015,중구,아파트,20년~30년미만,1047
2015,용산구,아파트,20년~30년미만,1848
2015,성동구,아파트,20년~30년미만,8471
2015,광진구,아파트,20년~30년미만,7530
2015,동대문구,아파트,20년~30년미만,4722
2015,중랑구,아파트,20년~30년미만,11433
2015,성북구,아파트,20년~30년미만,2058
2015,강북구,아파트,20년~30년미만,9567
2015,도봉구,아파트,20년~30년미만,37348
2015,노원구,아파트,20년~30년미만,102905
2015,은평구,아파트,20년~30년미만,5540
2015,서대문구,아파트,20년~30년미만,6866
2015,마포구,아파트,20년~30년미만,8190
2015,양천구,아파트,20년~30년미만,34037
2015,강서구,아파트,20년~30년미만,45227
2015,구로구,아파트,20년~30년미만,14276
2015,금천구,아파트,20년~30년미만,4208
2015,영등포구,아파트,20년~30년미만,10202
2015,동작구,아파트,20년~30년미만,17281
2015,관악구,아파트,20년~30년미만,7839
2015,서초구,아파트,20년~30년미만,13856
2015,강남구,아파트,20년~30년미만,28384
2015,송파구,아파트,20년~30년미만,25834
2015,강동구,아파트,20년~30년미만,7384
2015,종로구,연립주택,20년~30년미만,2517
2015,중구,연립주택,20년~30년미만,636
2015,용산구,연립주택,20년~30년미만,1034
2015,성동구,연립주택,20년~30년미만,539
2015,광진구,연립주택,20년~30년미만,1301
2015,동대문구,연립주택,20년~30년미만,528
2015,중랑구,연립주택,20년~30년미만,1886
2015,성북구,연립주택,20년~30년미만,2388
2015,강북구,연립주택,20년~30년미만,1689
2015,도봉구,연립주택,20년~30년미만,1882
2015,노원구,연립주택,20년~30년미만,1077
2015,은평구,연립주택,20년~30년미만,3391
2015,서대문구,연립주택,20년~30년미만,1895
2015,마포구,연립주택,20년~30년미만,1163
2015,양천구,연립주택,20년~30년미만,1323
2015,강서구,연립주택,20년~30년미만,1714
2015,구로구,연립주택,20년~30년미만,3217
2015,금천구,연립주택,20년~30년미만,1445
2015,영등포구,연립주택,20년~30년미만,446
2015,동작구,연립주택,20년~30년미만,2077
2015,관악구,연립주택,20년~30년미만,2680
2015,서초구,연립주택,20년~30년미만,2992
2015,강남구,연립주택,20년~30년미만,2178
2015,송파구,연립주택,20년~30년미만,3499
2015,강동구,연립주택,20년~30년미만,2139
2015,종로구,다세대주택,20년~30년미만,1957
2015,중구,다세대주택,20년~30년미만,1310
2015,용산구,다세대주택,20년~30년미만,3986
2015,성동구,다세대주택,20년~30년미만,2958
2015,광진구,다세대주택,20년~30년미만,3984
2015,동대문구,다세대주택,20년~30년미만,3186
2015,중랑구,다세대주택,20년~30년미만,3611
2015,성북구,다세대주택,20년~30년미만,6790
2015,강북구,다세대주택,20년~30년미만,13153
2015,도봉구,다세대주택,20년~30년미만,8609
2015,노원구,다세대주택,20년~30년미만,4567
2015,은평구,다세대주택,20년~30년미만,20759
2015,서대문구,다세대주택,20년~30년미만,7938
2015,마포구,다세대주택,20년~30년미만,10094
2015,양천구,다세대주택,20년~30년미만,14278
2015,강서구,다세대주택,20년~30년미만,10003
2015,구로구,다세대주택,20년~30년미만,5165
2015,금천구,다세대주택,20년~30년미만,2421
2015,영등포구,다세대주택,20년~30년미만,1898
2015,동작구,다세대주택,20년~30년미만,8416
2015,관악구,다세대주택,20년~30년미만,13505
