연도,자치구,전체주택수
2015,종로구,43550
2015,중구,37478
2015,용산구,70723
2015,성동구,82331
2015,광진구,79393
2015,동대문구,98203
2015,중랑구,99265
2015,성북구,128046
2015,강북구,91806
2015,도봉구,102443
2015,노원구,186626
2015,은평구,140330
2015,서대문구,92885
2015,마포구,116135
2015,양천구,134097
2015,강서구,179045
2015,구로구,118047
2015,금천구,57096
2015,영등포구,96195
2015,동작구,109362
2015,관악구,121277
2015,서초구,125403
2015,강남구,176654
2015,송파구,187030
2015,강동구,119824
2016,종로구,43554
2016,중구,38311
2016,용산구,70868
2016,성동구,80977
2016,광진구,82691
2016,동대문구,96464
2016,중랑구,102387
2016,성북구,128502
2016,강북구,93623
2016,도봉구,104170
2016,노원구,189013
2016,은평구,142135
2016,서대문구,92788
2016,마포구,118456
2016,양천구,137651
2016,강서구,184422
2016,구로구,120431
2016,금천구,58938
2016,영등포구,97089
2016,동작구,111438
2016,관악구,123911
2016,서초구,129491
2016,강남구,176135
2016,송파구,191349
2016,강동구,116063
2017,종로구,45787
2017,중구,39512
2017,용산구,71356
2017,성동구,86650
2017,광진구,84316
2017,동대문구,97891
2017,중랑구,103740
2017,성북구,130766
2017,강북구,94526
2017,도봉구,104752
2017,노원구,187025
2017,은평구,143727
2017,서대문구,94398
2017,마포구,118355
2017,양천구,137056
2017,강서구,188176
2017,구로구,121684
2017,금천구,62314
2017,영등포구,99225
2017,동작구,111548
2017,관악구,124170
2017,서초구,128977
2017,강남구,173282
2017,송파구,196672
2017,강동구,120940
2018,종로구,45729
2018,중구,40177
2018,용산구,71680
2018,성동구,87830
2018,광진구,85638
2018,동대문구,100802
2018,중랑구,105691
2018,성북구,129994
2018,강북구,95097
2018,도봉구,105526
2018,노원구,186533
2018,은평구,144611
2018,서대문구,94884
2018,마포구,118619
2018,양천구,137850
2018,강서구,190525
2018,구로구,124569
2018,금천구,65244
2018,영등포구,99971
2018,동작구,112032
2018,관악구,125148
2018,서초구,132040
2018,강남구,171431
2018,송파구,199739
2018,강동구,122718
2019,종로구,46440
2019,중구,41754
2019,용산구,72463
2019,성동구,91037
2019,광진구,89132
2019,동대문구,104821
2019,중랑구,107997
2019,성북구,136437
2019,강북구,97070
2019,도봉구,106641
2019,노원구,187376
2019,은평구,148557
2019,서대문구,97616
2019,마포구,119298
2019,양천구,139938
2019,강서구,193551
2019,구로구,129693
2019,금천구,67012
2019,영등포구,101603
2019,동작구,115075
2019,관악구,126526
2019,서초구,131777
2019,강남구,170444
2019,송파구,208692
2019,강동구,123014
2020,종로구,46859
2020,중구,42234
2020,용산구,74542
2020,성동구,91329
2020,광진구,89832
2020,동대문구,103520
2020,중랑구,112364
2020,성북구,138621
2020,강북구,97452
2020,도봉구,107156
2020,노원구,189213
2020,은평구,150658
2020,서대문구,101036
2020,마포구,122311
2020,양천구,143769
2020,강서구,195383
2020,구로구,133012
2020,금천구,68804
2020,영등포구,107366
2020,동작구,115615
2020,관악구,127568
2020,서초구,133528
2020,강남구,173745
2020,송파구,211578
2020,강동구,137876
2021,종로구,46885
2021,중구,42319
2021,용산구,75739
2021,성동구,91033
2021,광진구,91432
2021,동대문구,104287
2021,중랑구,114488
2021,성북구,140138
2021,강북구,97840
2021,도봉구,107959
2021,노원구,190352
2021,은평구,156710
2021,서대문구,102024
2021,마포구,126005
2021,양천구,145843
2021,강서구,199556
2021,구로구,134367
2021,금천구,71117
2021,영등포구,110396
2021,동작구,119534
2021,관악구,127783
2021,서초구,135171
2021,강남구,175536
2021,송파구,215731
2021,강동구,146249
2022,종로구,46810
2022,중구,42401
2022,용산구,77116
2022,성동구,90740
2022,광진구,93555
2022,동대문구,106441
2022,중랑구,118357
2022,성북구,142602
2022,강북구,99477
2022,도봉구,109190
2022,노원구,192022
2022,은평구,160630
2022,서대문구,105047
2022,마포구,127057
2022,양천구,146886
2022,강서구,201611
2022,구로구,137403
2022,금천구,72044
2022,영등포구,112068
2022,동작구,120374
2022,관악구,129778
2022,서초구,132706
2022,강남구,178493
2022,송파구,220192
2022,강동구,148323
2023,종로구,47025
2023,중구,44191
2023,용산구,77734
2023,성동구,91252
2023,광진구,95286
2023,동대문구,110169
2023,중랑구,119961
2023,성북구,143240
2023,강북구,100418
2023,도봉구,109465
2023,노원구,192926
2023,은평구,165462
2023,서대문구,106640
2023,마포구,129421
2023,양천구,147619
2023,강서구,203887
2023,구로구,137863
2023,금천구,72901
2023,영등포구,114173
2023,동작구,122058
2023,관악구,130244
2023,서초구,136528
2023,강남구,184608
2023,송파구,221082
2023,강동구,151178
2024,종로구,47156
2024,중구,44572
2024,용산구,78063
2024,성동구,91231
2024,광진구,95631
2024,동대문구,110761
2024,중랑구,120876
2024,성북구,143758
2024,강북구,101800
2024,도봉구,109638
2024,노원구,192808
2024,은평구,163763
2024,서대문구,106311
2024,마포구,129425
2024,양천구,147679
2024,강서구,204363
2024,구로구,137950
2024,금천구,72667
2024,영등포구,115011
2024,동작구,120989
2024,관악구,130987
2024,서초구,134566
2024,강남구,192220
2024,송파구,222795
2024,강동구,155312
2025,종로구,47214
2025,중구,44722
2025,용산구,78493
2025,성동구,93729
2025,광진구,97994
2025,동대문구,116994
2025,중랑구,123361
2025,성북구,147191
2025,강북구,102100
2025,도봉구,110066
2025,노원구,193185
2025,은평구,165146
2025,서대문구,107145
2025,마포구,130128
2025,양천구,147727
2025,강서구,205470
2025,구로구,139827
2025,금천구,72909
2025,영등포구,114728
2025,동작구,121447
2025,관악구,132634
2025,서초구,137444
2025,강남구,192711
2025,송파구,223437
2025,강동구,170045
